Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56000734700,56000734700,2015.0,10,0,8.9,74,0,34,6,0,0,0
56000734700,56000734700,2016.0,7,0,9.71,53,0,26,6,0,0,0
56000734700,56000734700,2017.0,5,0,9.2,42,0,14,4,0,0,0
56000734700,56000734700,2018.0,6,0,10.0,53,0,20,2,0,0,0
56000734700,56000734700,2019.0,4,0,11.0,39,0,24,5,0,0,0
56000734700,56000734700,2020.0,7,0,9.29,55,0,23,2,0,0,0
56000734700,56000734700,2021.0,4,0,12.25,33,0,27,5,0,0,0
56000734700,56000734700,2022.0,2,0,11.0,21,0,8,2,0,0,0
56000734700,56000734700,2023.0,2,0,9.5,19,0,6,1,0,0,0
56000734700,56000734700,2024.0,1,0,10.0,10,0,4,3,0,0,0
