Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
57196369184,57196369184,2015.0,3,0,7.0,19,0,13,6,0,0,0
57196369184,57196369184,2016.0,3,0,9.0,26,0,17,6,0,0,0
57196369184,57196369184,2017.0,3,0,10.0,24,0,11,3,0,0,0
57196369184,57196369184,2018.0,3,0,8.0,23,0,10,3,0,0,0
57196369184,57196369184,2019.0,4,0,7.75,27,0,12,5,0,0,0
57196369184,57196369184,2020.0,8,0,8.5,48,0,35,9,0,0,0
57196369184,57196369184,2021.0,4,0,6.75,23,0,16,2,0,0,0
57196369184,57196369184,2022.0,3,0,7.0,19,0,15,3,0,0,0
57196369184,57196369184,2023.0,1,0,7.0,7,0,6,2,0,0,0
57196369184,57196369184,2024.0,2,0,9.0,17,0,7,2,0,0,0
