Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
7006878205,7006878205,2015.0,4,0,5.0,14,0,5,1,0,0,0
7006878205,7006878205,2016.0,3,0,4.33,6,0,4,2,0,0,0
7006878205,7006878205,2017.0,5,0,3.4,10,0,7,1,0,0,0
7006878205,7006878205,2018.0,1,0,6.0,6,0,3,1,0,0,0
7006878205,7006878205,2019.0,5,0,3.4,10,0,5,1,0,0,0
7006878205,7006878205,2020.0,2,0,6.0,11,0,5,3,0,0,0
7006878205,7006878205,2021.0,1,0,3.0,3,0,1,1,0,0,0
7006878205,7006878205,2022.0,1,0,3.0,3,0,1,1,0,0,0
7006878205,7006878205,2023.0,3,0,5.0,10,0,5,3,0,0,0
