Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
57204835583,57204835583,2015.0,3,0,7.33,22,0,6,2,0,0,0
57204835583,57204835583,2016.0,3,0,5.0,12,0,6,2,0,0,0
57204835583,57204835583,2017.0,6,0,6.0,31,0,15,6,0,0,0
57204835583,57204835583,2018.0,4,0,7.25,23,0,7,3,0,0,0
57204835583,57204835583,2019.0,1,0,6.0,6,0,2,1,0,0,0
57204835583,57204835583,2020.0,4,0,6.25,22,0,6,1,0,0,0
57204835583,57204835583,2021.0,5,0,6.6,29,0,11,2,0,0,0
57204835583,57204835583,2022.0,6,0,7.33,40,0,23,3,0,0,0
57204835583,57204835583,2023.0,4,0,5.75,21,0,8,1,0,0,0
57204835583,57204835583,2024.0,4,0,6.5,24,0,10,2,0,0,0
