Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
57219403281,57219403281,2015.0,1,0,9.0,9,0,2,2,0,0,0
57219403281,57219403281,2016.0,1,0,8.0,8,0,3,3,0,0,0
57219403281,57219403281,2017.0,2,0,9.5,15,0,7,3,0,0,0
57219403281,57219403281,2018.0,1,0,11.0,11,0,3,2,0,0,0
57219403281,57219403281,2019.0,2,0,8.5,14,0,7,3,0,0,0
57219403281,57219403281,2020.0,4,0,8.25,21,0,11,3,0,0,0
57219403281,57219403281,2021.0,3,0,6.67,12,0,6,1,0,0,0
57219403281,57219403281,2022.0,2,0,7.0,13,0,7,2,0,0,0
57219403281,57219403281,2023.0,6,0,6.0,24,0,16,3,0,0,0
57219403281,57219403281,2024.0,4,0,8.75,23,0,11,2,0,0,0
