Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56110056100,56110056100,2015.0,6,0,6.17,15,0,25,2,0,0,0
56110056100,56110056100,2016.0,6,0,5.67,17,0,25,2,0,0,0
56110056100,56110056100,2017.0,6,0,6.33,17,0,24,5,0,0,0
56110056100,56110056100,2018.0,8,0,7.0,28,0,41,6,0,0,0
56110056100,56110056100,2019.0,6,0,7.67,30,0,30,7,0,0,0
56110056100,56110056100,2020.0,5,0,6.6,17,0,19,2,0,0,0
56110056100,56110056100,2021.0,7,0,8.43,25,0,34,6,0,0,0
56110056100,56110056100,2022.0,8,0,7.62,27,0,36,6,0,0,0
56110056100,56110056100,2023.0,6,0,5.5,15,0,18,2,0,0,0
56110056100,56110056100,2024.0,2,0,5.5,8,0,7,1,0,0,0
