Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
14120132300,14120132300,2015.0,2,0,10.5,21,0,9,3,0,0,0
14120132300,14120132300,2016.0,1,0,12.0,12,0,5,1,0,0,0
14120132300,14120132300,2017.0,1,0,7.0,7,0,4,2,0,0,0
14120132300,14120132300,2018.0,2,0,6.5,10,0,9,1,0,0,0
14120132300,14120132300,2019.0,3,0,7.33,18,0,6,1,0,0,0
14120132300,14120132300,2020.0,1,0,11.0,11,0,6,2,0,0,0
14120132300,14120132300,2021.0,2,0,6.5,12,0,5,1,0,0,0
14120132300,14120132300,2022.0,3,0,7.0,20,0,11,2,0,0,0
14120132300,14120132300,2023.0,2,0,7.5,14,0,8,1,0,0,0
14120132300,14120132300,2024.0,2,0,7.0,13,0,6,2,0,0,0
