Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56000780400,56000780400,2015.0,2,0,7.5,14,0,5,1,0,0,0
56000780400,56000780400,2016.0,7,0,7.0,35,0,16,2,0,0,0
56000780400,56000780400,2017.0,4,0,5.5,19,0,9,1,0,0,0
56000780400,56000780400,2018.0,9,0,5.67,40,0,27,3,0,0,0
56000780400,56000780400,2019.0,4,0,6.25,24,0,10,2,0,0,0
56000780400,56000780400,2020.0,4,0,6.5,21,0,11,1,0,0,0
56000780400,56000780400,2021.0,5,0,6.8,27,0,19,2,0,0,0
56000780400,56000780400,2022.0,3,0,7.0,17,0,5,1,0,0,0
56000780400,56000780400,2023.0,6,0,7.67,39,0,22,3,0,0,0
56000780400,56000780400,2024.0,4,0,6.5,19,0,8,1,0,0,0
