Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
6603265505,6603265505,2015.0,4,0,5.5,18,0,6,1,0,0,0
6603265505,6603265505,2016.0,4,0,4.0,14,0,7,2,0,0,0
6603265505,6603265505,2017.0,10,0,4.8,38,0,28,2,0,0,0
6603265505,6603265505,2018.0,3,0,5.0,14,0,6,3,0,0,0
6603265505,6603265505,2019.0,3,0,4.67,12,0,6,3,0,0,0
6603265505,6603265505,2020.0,6,0,5.67,23,0,13,2,0,0,0
6603265505,6603265505,2021.0,3,0,5.33,14,0,6,1,0,0,0
6603265505,6603265505,2022.0,2,0,8.0,15,0,9,3,0,0,0
6603265505,6603265505,2023.0,4,0,6.25,20,0,9,4,0,0,0
6603265505,6603265505,2024.0,2,0,7.5,10,0,6,2,0,0,0
