Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
55399527300,55399527300,2015.0,17,0,5.12,44,0,38,2,0,0,0
55399527300,55399527300,2016.0,27,0,4.48,57,0,51,2,0,0,0
55399527300,55399527300,2017.0,20,0,4.7,49,0,39,2,0,0,0
55399527300,55399527300,2018.0,28,0,4.86,57,0,58,3,0,0,0
55399527300,55399527300,2019.0,24,0,4.42,53,0,45,3,0,0,0
55399527300,55399527300,2020.0,18,0,4.89,41,0,43,4,0,0,0
55399527300,55399527300,2021.0,20,0,4.15,44,0,41,2,0,0,0
55399527300,55399527300,2022.0,25,0,4.76,58,0,54,3,0,0,0
55399527300,55399527300,2023.0,12,0,3.5,19,0,18,2,0,0,0
55399527300,55399527300,2024.0,12,0,3.42,24,0,24,2,0,0,0
