Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
7004641449,7004641449,2015.0,7,0,2.86,13,0,12,2,0,0,0
7004641449,7004641449,2016.0,2,0,2.0,2,0,4,2,0,0,0
7004641449,7004641449,2017.0,3,0,2.33,5,0,5,2,0,0,0
7004641449,7004641449,2018.0,2,0,3.0,5,0,4,2,0,0,0
7004641449,7004641449,2019.0,3,0,4.33,7,0,5,2,0,0,0
7004641449,7004641449,2020.0,5,0,2.8,10,0,10,3,0,0,0
7004641449,7004641449,2021.0,3,0,2.0,4,0,5,2,0,0,0
7004641449,7004641449,2022.0,7,0,3.0,15,0,16,2,0,0,0
7004641449,7004641449,2023.0,3,0,2.33,5,0,5,1,0,0,0
7004641449,7004641449,2024.0,2,0,3.0,5,0,3,1,0,0,0
