Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56000809800,56000809800,2015.0,1,0,3.0,3,0,2,1,0,0,0
56000809800,56000809800,2016.0,2,0,4.0,7,0,5,1,0,0,0
56000809800,56000809800,2017.0,2,0,8.0,12,0,5,2,0,0,0
56000809800,56000809800,2018.0,1,0,8.0,8,0,2,1,0,0,0
56000809800,56000809800,2019.0,1,0,6.0,6,0,2,1,0,0,0
56000809800,56000809800,2020.0,2,0,6.0,9,0,3,2,0,0,0
56000809800,56000809800,2021.0,1,0,6.0,5,0,3,2,0,0,0
56000809800,56000809800,2022.0,2,0,5.5,10,0,5,1,0,0,0
56000809800,56000809800,2023.0,1,0,14.0,14,0,5,3,0,0,0
56000809800,56000809800,2024.0,4,0,5.25,12,0,9,2,0,0,0
