Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
54879377900,54879377900,2015.0,2,0,5.5,8,0,3,1,0,0,0
54879377900,54879377900,2016.0,1,0,5.0,5,0,1,1,0,0,0
54879377900,54879377900,2017.0,1,0,6.0,6,0,1,1,0,0,0
54879377900,54879377900,2018.0,2,0,6.0,8,0,2,1,0,0,0
54879377900,54879377900,2019.0,3,0,6.0,14,0,3,1,0,0,0
54879377900,54879377900,2020.0,5,0,6.8,22,0,7,1,0,0,0
54879377900,54879377900,2021.0,5,0,6.6,23,0,9,1,0,0,0
54879377900,54879377900,2022.0,3,0,5.67,14,0,3,1,0,0,0
54879377900,54879377900,2023.0,2,0,6.5,9,0,2,1,0,0,0
54879377900,54879377900,2024.0,2,0,5.5,11,0,3,1,0,0,0
