Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56013839300,56013839300,2015.0,7,0,6.14,32,0,21,2,0,0,0
56013839300,56013839300,2016.0,5,0,6.0,25,0,13,1,0,0,0
56013839300,56013839300,2017.0,5,0,6.6,28,0,11,1,0,0,0
56013839300,56013839300,2018.0,1,0,5.0,5,0,4,1,0,0,0
56013839300,56013839300,2019.0,8,0,5.88,34,0,22,2,0,0,0
56013839300,56013839300,2020.0,5,0,5.6,19,0,13,1,0,0,0
56013839300,56013839300,2021.0,4,0,7.5,24,0,15,2,0,0,0
56013839300,56013839300,2022.0,5,0,6.8,30,0,16,2,0,0,0
56013839300,56013839300,2023.0,6,0,7.67,34,0,23,2,0,0,0
56013839300,56013839300,2024.0,4,0,8.25,29,0,12,1,0,0,0
